id,label
7921,0
7922,0
7923,0
7924,0
7925,1
7926,1
7927,0
7928,1
7929,0
7930,1
7931,1
7932,1
7933,1
7934,1
7935,1
7936,1
7937,1
7938,0
7939,0
7940,1
7941,1
7942,1
7943,1
7944,1
7945,0
7946,1
7947,1
7948,1
7949,0
7950,1
7951,0
7952,1
7953,1
7954,1
7955,1
7956,0
7957,0
7958,1
7959,1
7960,1
7961,1
7962,1
7963,1
7964,0
7965,1
7966,1
7967,1
7968,1
7969,1
7970,0
7971,0
7972,1
7973,1
7974,1
7975,0
7976,1
7977,1
7978,0
7979,1
7980,0
7981,1
7982,1
7983,1
7984,1
7985,1
7986,1
7987,1
7988,1
7989,1
7990,0
7991,1
7992,1
7993,1
7994,1
7995,0
7996,1
7997,1
7998,1
7999,1
8000,0
8001,1
8002,0
8003,1
8004,1
8005,1
8006,0
8007,1
8008,1
8009,1
8010,1
8011,1
8012,0
8013,1
8014,1
8015,1
8016,0
8017,0
8018,1
8019,0
8020,0
8021,0
8022,1
8023,1
8024,0
8025,0
8026,0
8027,0
8028,1
8029,1
8030,1
8031,1
8032,1
8033,1
8034,1
8035,0
8036,1
8037,1
8038,1
8039,1
8040,1
8041,1
8042,0
8043,0
8044,1
8045,1
8046,1
8047,0
8048,0
8049,0
8050,0
8051,0
8052,0
8053,1
8054,1
8055,0
8056,1
8057,1
8058,1
8059,1
8060,1
8061,1
8062,1
8063,1
8064,0
8065,0
8066,0
8067,1
8068,1
8069,1
8070,1
8071,1
8072,1
8073,0
8074,1
8075,1
8076,1
8077,1
8078,1
8079,1
8080,0
8081,1
8082,0
8083,1
8084,1
8085,1
8086,0
8087,0
8088,1
8089,1
8090,0
8091,1
8092,1
8093,1
8094,1
8095,1
8096,1
8097,1
8098,1
8099,0
8100,1
8101,1
8102,1
8103,0
8104,1
8105,1
8106,1
8107,1
8108,1
8109,1
8110,1
8111,1
8112,0
8113,1
8114,1
8115,1
8116,1
8117,0
8118,1
8119,1
8120,1
8121,1
8122,1
8123,1
8124,1
8125,1
8126,0
8127,1
8128,1
8129,1
8130,1
8131,1
8132,0
8133,1
8134,1
8135,1
8136,1
8137,1
8138,0
8139,0
8140,0
8141,1
8142,1
8143,1
8144,1
8145,1
8146,1
8147,1
8148,1
8149,1
8150,1
8151,1
8152,1
8153,1
8154,1
8155,1
8156,1
8157,0
8158,1
8159,0
8160,0
8161,1
8162,1
8163,1
8164,0
8165,1
8166,1
8167,1
8168,0
8169,1
8170,0
8171,1
8172,1
8173,1
8174,1
8175,0
8176,1
8177,0
8178,1
8179,1
8180,1
8181,1
8182,1
8183,1
8184,0
8185,0
8186,1
8187,1
8188,1
8189,1
8190,1
8191,1
8192,1
8193,1
8194,0
8195,1
8196,0
8197,1
8198,0
8199,1
8200,0
8201,0
8202,1
8203,1
8204,1
8205,1
8206,1
8207,0
8208,1
8209,1
8210,1
8211,1
8212,1
8213,0
8214,1
8215,1
8216,1
8217,1
8218,1
8219,1
8220,1
8221,1
8222,1
8223,1
8224,0
8225,1
8226,0
8227,0
8228,1
8229,1
8230,1
8231,1
8232,0
8233,0
8234,1
8235,1
8236,0
8237,1
8238,1
8239,1
8240,1
8241,1
8242,1
8243,1
8244,1
8245,0
8246,0
8247,1
8248,0
8249,0
8250,1
8251,1
8252,0
8253,1
8254,1
8255,0
8256,1
8257,1
8258,1
8259,0
8260,1
8261,1
8262,1
8263,1
